DHB,population,latitude,longitude,date,total,new,active,recovered,deaths
Auckland,545640,-36.79148113,174.94061351,26/03/2020,45,0,,,
Auckland,545640,-36.79148113,174.94061351,27/03/2020,58,13,,,
Auckland,545640,-36.79148113,174.94061351,28/03/2020,64,6,,,
Auckland,545640,-36.79148113,174.94061351,29/03/2020,75,11,,,
Auckland,545640,-36.79148113,174.94061351,30/03/2020,91,16,,,
Auckland,545640,-36.79148113,174.94061351,31/03/2020,97,6,,,
Auckland,545640,-36.79148113,174.94061351,1/04/2020,104,7,,,
Auckland,545640,-36.79148113,174.94061351,2/04/2020,121,17,,,
Auckland,545640,-36.79148113,174.94061351,3/04/2020,121,0,,,
Auckland,545640,-36.79148113,174.94061351,4/04/2020,127,6,,,
Auckland,545640,-36.79148113,174.94061351,5/04/2020,137,10,,,
Auckland,545640,-36.79148113,174.94061351,6/04/2020,147,10,,,
Auckland,545640,-36.79148113,174.94061351,7/04/2020,153,6,,,
Auckland,545640,-36.79148113,174.94061351,8/04/2020,155,2,,,
Auckland,545640,-36.79148113,174.94061351,9/04/2020,159,4,,,
Auckland,545640,-36.79148113,174.94061351,10/04/2020,169,6,,,
Auckland,545640,-36.79148113,174.94061351,11/04/2020,173,4,,,
Auckland,545640,-36.79148113,174.94061351,12/04/2020,175,2,,,
Auckland,545640,-36.79148113,174.94061351,13/04/2020,176,1,,,
Auckland,545640,-36.79148113,174.94061351,14/04/2020,180,4,,,
Auckland,545640,-36.79148113,174.94061351,15/04/2020,182,2,,,
Auckland,545640,-36.79148113,174.94061351,16/04/2020,183,1,60,123,0
Auckland,545640,-36.79148113,174.94061351,17/04/2020,184,1,53,131,0
Auckland,545640,-36.79148113,174.94061351,18/04/2020,185,1,49,136,0
Auckland,545640,-36.79148113,174.94061351,19/04/2020,185,0,46,139,0
Auckland,545640,-36.79148113,174.94061351,20/04/2020,185,0,43,142,0
Auckland,545640,-36.79148113,174.94061351,21/04/2020,186,1,41,145,0
Auckland,545640,-36.79148113,174.94061351,22/04/2020,187,1,39,148,0
Auckland,545640,-36.79148113,174.94061351,23/04/2020,186,-1,37,149,0
Auckland,545640,-36.79148113,174.94061351,24/04/2020,183,-3,28,155,0
Auckland,545640,-36.79148113,174.94061351,25/04/2020,174,-9,26,148,0
Auckland,545640,-36.79148113,174.94061351,25/04/2020,175,1,26,149,0
Auckland,545640,-36.79148113,174.94061351,25/04/2020,175,1,26,149,0
Auckland,545640,-36.79148113,174.94061351,26/04/2020,175,1,26,149,0
Auckland,545640,-36.79148113,174.94061351,27/04/2020,175,0,25,150,0
Auckland,545640,-36.79148113,174.94061351,28/04/2020,173,-2,22,151,0
Auckland,545640,-36.79148113,174.94061351,29/04/2020,172,-1,22,150,0
Auckland,545640,-36.79148113,174.94061351,30/04/2020,173,1,22,151,0
Auckland,545640,-36.79148113,174.94061351,2/05/2020,178,3,24,154,0
Auckland,545640,-36.79148113,174.94061351,3/05/2020,178,0,24,154,0
Auckland,545640,-36.79148113,174.94061351,4/05/2020,178,0,26,152,0
Auckland,545640,-36.79148113,174.94061351,5/05/2020,177,-1,24,153,0
Auckland,545640,-36.79148113,174.94061351,6/05/2020,178,1,23,155,0
Auckland,545640,-36.79148113,174.94061351,7/05/2020,178,0,21,157,0
Auckland,545640,-36.79148113,174.94061351,8/05/2020,178,0,18,160,0
Auckland,545640,-36.79148113,174.94061351,9/05/2020,178,0,16,162,0
Auckland,545640,-36.79148113,174.94061351,10/05/2020,178,0,16,162,0
Auckland,545640,-36.79148113,174.94061351,11/05/2020,179,1,13,166,0
Auckland,545640,-36.79148113,174.94061351,12/05/2020,179,0,10,169,0
Auckland,545640,-36.79148113,174.94061351,13/05/2020,179,0,10,169,0
Auckland,545640,-36.79148113,174.94061351,14/05/2020,178,-1,7,171,0
Auckland,545640,-36.79148113,174.94061351,28/05/2020,178,0,2,176,0
Bay of Plenty,238380,-38.27821375,176.90391541,26/03/2020,3,0,,,
Bay of Plenty,238380,-38.27821375,176.90391541,27/03/2020,6,3,,,
Bay of Plenty,238380,-38.27821375,176.90391541,28/03/2020,10,4,,,
Bay of Plenty,238380,-38.27821375,176.90391541,29/03/2020,12,2,,,
Bay of Plenty,238380,-38.27821375,176.90391541,30/03/2020,11,-1,,,
Bay of Plenty,238380,-38.27821375,176.90391541,31/03/2020,15,4,,,
Bay of Plenty,238380,-38.27821375,176.90391541,1/04/2020,18,3,,,
Bay of Plenty,238380,-38.27821375,176.90391541,2/04/2020,28,10,,,
Bay of Plenty,238380,-38.27821375,176.90391541,3/04/2020,28,0,,,
Bay of Plenty,238380,-38.27821375,176.90391541,4/04/2020,30,2,,,
Bay of Plenty,238380,-38.27821375,176.90391541,5/04/2020,31,1,,,
Bay of Plenty,238380,-38.27821375,176.90391541,5/04/2020,32,1,,,
Bay of Plenty,238380,-38.27821375,176.90391541,6/04/2020,36,4,,,
Bay of Plenty,238380,-38.27821375,176.90391541,7/04/2020,38,2,,,
Bay of Plenty,238380,-38.27821375,176.90391541,8/04/2020,40,2,,,
Bay of Plenty,238380,-38.27821375,176.90391541,9/04/2020,39,-1,,,
Bay of Plenty,238380,-38.27821375,176.90391541,10/04/2020,42,3,,,
Bay of Plenty,238380,-38.27821375,176.90391541,11/04/2020,42,0,,,
Bay of Plenty,238380,-38.27821375,176.90391541,12/04/2020,41,-1,,,
Bay of Plenty,238380,-38.27821375,176.90391541,13/04/2020,41,0,,,
Bay of Plenty,238380,-38.27821375,176.90391541,14/04/2020,44,3,,,
Bay of Plenty,238380,-38.27821375,176.90391541,15/04/2020,44,0,15,29,0
Bay of Plenty,238380,-38.27821375,176.90391541,16/04/2020,44,0,14,30,0
Bay of Plenty,238380,-38.27821375,176.90391541,17/04/2020,45,1,13,32,0
Bay of Plenty,238380,-38.27821375,176.90391541,18/04/2020,45,0,13,32,0
Bay of Plenty,238380,-38.27821375,176.90391541,19/04/2020,46,1,13,33,0
Bay of Plenty,238380,-38.27821375,176.90391541,20/04/2020,47,1,14,33,0
Bay of Plenty,238380,-38.27821375,176.90391541,21/04/2020,47,0,14,33,0
Bay of Plenty,238380,-38.27821375,176.90391541,22/04/2020,47,0,14,33,0
Bay of Plenty,238380,-38.27821375,176.90391541,23/04/2020,47,0,14,33,0
Bay of Plenty,238380,-38.27821375,176.90391541,24/04/2020,47,0,14,33,0
Bay of Plenty,238380,-38.27821375,176.90391541,25/04/2020,47,0,11,36,0
Bay of Plenty,238380,-38.27821375,176.90391541,25/04/2020,47,0,11,36,0
